ID,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
112,ذرا میرا بیگ پکڑ لو، ہاتھ بھرے ہوئے ہیں۔,ہاں، دو، میں سنبھال لیتی ہوں۔,,,,,,,"""جی بالکل، میں پکڑ لیتا ہوں۔""",,,,,,,میرے بیگ سے پکڑ لئے، آپ کے ہاتھ بھرے ہوئے ہیں۔,,,,,,,"""بیگ کیسے پکڑو؟""
""آپ کوئی ایسی چیز دیکھ رہے ہیں جو آپ کی",,,,,,,"""کیا کیا ہوا؟ میں نے دیکھا تو تھوڑا سا چھوٹا سا کاغذ ل",,,,,,
113,ذرا فون چارجر دے دینا، بیٹری ختم ہونے والی ہے۔,ہاں، یہ رہا، استعمال کر لو۔,,,,,,,میری بیٹری ختم ہوگئی ہے، لطف کरकے فون چارجر پر چلaoں۔,,,,,,,"""Please give me the phone charger, my battery is about to die.""",,,,,,,"""جی بالکل، لے لو۔""",,,,,,,چلو آئیے کھڑک کر چارجر لگائیں اور بیٹری کو چار्ज کریں گے۔,,,,,,
114,بیٹا، فرصت ملے تو ذرا یہ کام دیکھ لیجیے گا۔,جی ابا جی، میں دیکھ لیتا ہوں۔,,,,,,,بیٹا، اس کاروبار کی تفصیلی ترین نظریہ دیکھ لیں گے۔,,,,,,,"Son, if you get some free time, just take a look at this task for now.
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not",,,,,,,"""کیا کیا ہو رہا ہے؟""",,,,,,,جی بالکل، میں دیکھ لوں گا۔,,,,,,
115,آج مہمان آ رہے ہیں، کھانے کا انتظام کرنا ہے۔,جی امی جان، آپ بتا دیجیے کیا کیا بنانا ہے۔,,,,,,,مہمانوں کے لئے تیزی سے کچھ خوشحال غذا بنائیں۔,,,,,,,"""ٹھیک ہے، میں کھانے کا انتظام کر دیتی ہوں۔""",,,,,,,"Today, guests are coming over and I need to take care of the food.",,,,,,,"""کیا آپ نے کچن میں سارے اجزاء کو تیار کیا ہے؟ کھانا بنانے ک�",,,,,,
116,میں نے کہا تھا یہ کام آج ہی کر دینا۔,جی ابو، میں ابھی یہ کام کر دیتا ہوں۔,,,,,,,I said I would get this work done today.,,,,,,,مجھے کہا جاتا تھا اس کارکردگی کو آج میں نے کر دی۔,,,,,,,"""کیا آپ کو اس کی ضرورت ہے؟""",,,,,,,"""میں معذرت خواہ ہوں، میں کوشش کروں گا کہ جلدی مکمل کر لوں۔""",,,,,,
117,ہر کام مجھے ہی کرنا پڑتا ہے؟,اچھا امی، آپ رہنے دیں، میں کر لیتا ہوں۔,,,,,,,"""نہیں، تمہیں اکیلے سب کچھ کرنے کی ضرورت نہیں ہے۔""",,,,,,,نہیں، یہاں تک کہ دوسروں کو بھی اپنی ذمہ داریوں کو سمج,,,,,,,میں آپ کو ناچنے کی ضرورت کے بارے میں کہنے چاہتا ہوں۔,,,,,,,"Answer: ""نہیں، یہ ایک مشترکہ کوشش ہے.""",,,,,,
118,بیٹا، ذرا یہ کاغذات میرے پاس لے آؤ۔,جی تایا جان، ابھی لے آتا ہوں۔,,,,,,,"Son, bring these papers to me.",,,,,,,"""جی والدجان، میں جانتا تھا کہ آپ کو یہ ضرور چاہیے ہوں گے",,,,,,,بھائی، میں نے ایسے کاغذات نہیں دیکھے جسے آپ کی ضرورت ہ,,,,,,,"""جی، ابھی لاتا ہوں۔""",,,,,,
119,یار، ذرا میرے ساتھ چلنا، ایک کام ہے۔,ہاں یار، چلو، کوئی مسئلہ نہیں، چلتے ہیں۔,,,,,,,"""Friend, come with me for a moment, there is something I need to do.""",,,,,,,"""کیا کیا ہوا؟ میں تو ابھی تیار نہیں ہوں۔ کیا یہ ضروری",,,,,,,"""جی بالکل، میں چلتا ہوں۔ کیا کام ہے؟""",,,,,,,بھائی، میری بہت آرزو ہے کہ تماشا جاتا رہو۔ لیکن کیسے کام,,,,,,
120,یہ کام تو تم ہی کرو گے۔,کر دیتا ہوں، لیکن پہلے پوچھ تو لیا کرو۔,,,,,,,تم نے میرا اعتماد بنایا۔ میں آپ کیلئے بھی کام کر سکتاہوں۔,,,,,,,"""کیوں نہیں، میں ضرور کروں گا۔""",,,,,,,"""جی، میں ضرور کرنے جا رہا ہوں، لیکن پہلے مجھے یہ معل",,,,,,,You will do this task. (Urdu),,,,,,
121,میرا خیال ہے تم نے طریقہ درست نہیں اپنایا۔,جی سر، آپ کی بات درست ہو سکتی ہے، لیکن اُس وقت حالات کے مطابق مجھے یہی بہتر لگا تھا پھر بھی میں اسے دوبارہ دیکھ لیتا ہوں۔,,,,,,,آپ کا م坯س تائید ہے، ممکنہ کہ بهترین طریقہ پیدا کرنے کی قواعد,,,,,,,"""آپ کا خیال ہے تو میں اس پر غور کروں گا۔""",,,,,,,"""کیا یہ آپ کا سچ ہے؟ میں نے تو اسے اچھی طرح سمجھ کر کیا تھ",,,,,,,I think you didn't adopt the correct method.,,,,,,
122,یہ جواب مزید بہتر ہو سکتا تھا۔,جی سر، میں دوبارہ اس پر کام کر لیتا ہوں۔,,,,,,,"'''
# generate a natural Urdu response
import random

# list of possible responses
responses = [""مجھے افسوس ہے، میں اس وقت مناسب جو",,,,,,,"""جی، آپ کا کیا خیال ہے؟""",,,,,,,"""آپ کی رائے کا شکریہ، میں کوشش کروں گا کہ اگلی بار بہتر جواب دوں۔""",,,,,,,میں نے کسی مسئلے پر کتنا زیادہ تفصیل دینا چاہا تھا۔,,,,,,
123,تم نے یہ کام ٹھیک نہیں کیا۔,جی ابو مجھ سے کوئی غلطی ہو گئی ہو گی، میں دوبارہ دیکھ لیتا ہوں۔,,,,,,,"""کیا آپ اس پر غور کرنے کا وقت نہیں لیتے تھے؟""",,,,,,,You didn't do this task right.,,,,,,,"""مجھے معاف کر دیں، میں بہتر کرنے کی کوشش کروں گا۔""",,,,,,,میری کوشش زیادہ تر مطلوبہ نہیں تھی۔,,,,,,
124,مجھے نہیں لگتا یہ آئیڈیا کام کرے گا۔,یار، ہو سکتا ہے تم ٹھیک کہہ رہے ہو، لیکن مجھے لگتا ہے ایک موقع تو دینا چاہیے۔,,,,,,,I don't think this idea will work.,,,,,,,یہ آئیڈیا ممکن طور پر نقصانی ہے۔,,,,,,,"""کیوں؟ اس کی کوشش کریں، پتہ چلے گا کہ وہ کیسا ہے�",,,,,,,"""کیوں نہیں؟ آپ کو کیا لگتا ہے کہ اس میں کیا کمی ہے؟""",,,,,,
125,تم ہمیشہ یہی غلطی کرتے ہو۔,یار، ہر بار ایسا نہیں ہوتا، اس دفعہ ذرا صورتحال کچھ اور تھی۔,,,,,,,تیری تجربات نے آپ کو اسے دکھایا ہے کہ یہی طریقے نہیں ک,,,,,,,"""کیا آپ مجھ سے باتیں کرنے کی وجہ یہ ہے کہ میں نے ایک",,,,,,,"""مجھے معاف کرو، میں کوشش کروں گا کہ آئندہ ایسا نہ ہو۔""",,,,,,,"You always make this mistake. (Urdu)
'''
# Generate a random number between 1 and 10
random_number = random.randint(1, 10)

# Check if the user made",,,,,,
126,تم نے میری بات نہیں مانی۔,امی، آپ ٹھیک کہہ رہی ہیں، آئندہ زیادہ خیال رکھوں گی۔,,,,,,,میں تو اپ کی بات جانتا ہوں لیکن میں نہیں مان رہا ہوں۔,,,,,,,"""مجھے افسوس ہے، میں نے کوشش کی تھی۔""",,,,,,,"""کیا آپ کو اس پر شک نہیں ہوگا کہ میں نے جو کچھ کہا تھا",,,,,,,You didn't listen to me.,,,,,,
127,اس رپورٹ میں کچھ خامیاں ہیں۔,جی سر، میں دوبارہ جائزہ لے کر انہیں درست کر دیتا ہوں۔,,,,,,,ایسے رپورٹ میں کچھ ناقص تفصیلات ہیں۔,,,,,,,There are some flaws in this report.,,,,,,,"""جی، یقیناً اس میں بہت سارے نقصانات موجود ہیں جو درست کرنے کی ضرورت",,,,,,,"""آپ کی رائے کا شکریہ، ہم ان خامیوں کو دور کرنے کی کوشش کریں گے۔""",,,,,,
128,تم کچھ زیادہ سخت ہو رہے ہو۔,یار، میرا مقصد سخت ہونا نہیں تھا، بس اپنی رائے دے رہا تھا۔,,,,,,,"""میں صرف صحیح بات کہنا چاہتا ہوں۔""",,,,,,,"""جی، میں بھی محسوس کررہا ہوں کہ زندگی میں کچھ چیلنجز آئی",,,,,,,میری مزید صرفت کی ضرورت نہیں ہے۔,,,,,,,You are becoming too harsh.,,,,,,
129,میں اس معیار کے کام کی توقع نہیں کر رہا تھا۔,معذرت سر، میں دوبارہ محنت کر کے اسے بہتر کر لیتا ہوں۔,,,,,,,I didn't expect this work to meet this standard.,,,,,,,میری توقعات سے بہت کم تھا لیکن یہ میرے خیالوں سے بہتر تھا�,,,,,,,میں اس میں کچھ انتظار نہیں کرتا تھا۔,,,,,,,"""آپ کی تعریف کا شکریہ! میں خوش ہوں کہ آپ کو یہ پسند آیا۔""",,,,,,
130,یہ سب تمہاری وجہ سے ہوا ہے۔,یار، میں مانتا ہوں مجھ سے بھی غلطی ہوئی ہوگی، لیکن سارا قصور مجھ پر نہیں ڈالا جا سکتا۔,,,,,,,یہ صرف مجھے بات کرنے کی وجہ سے نہیں ہوا۔,,,,,,,"""کیا یہ واقعی تمہارے لیے بھی اچھا ہے؟""",,,,,,,All this happened because of you.,,,,,,,"""میں نے تو کچھ نہیں کیا، یہ تو حالات کا نتیجہ ہے۔""",,,,,,
131,میں نے منع کیا تھا، پھر بھی تم نے یہ کام کیا۔,جی ابو، مجھ سے غلطی ہو گئی، آئندہ ایسا نہیں ہوگا۔,,,,,,,مجھے اسے نکالنا چاہئے جانتا تھا لیکن آپ نے بھی میری کوشش ک,,,,,,,"""مجھے معاف کر دو، میں نے سوچا نہیں تھا کہ یہ اتنا برا ہوگا۔""",,,,,,,"""کیا تم جانتے ہو کہ مجھے کس کی وجہ سے غصہ ہوا ہ�",,,,,,,"I prohibited you, but still you did this work.",,,,,,
132,میں اس فیصلے سے متفق نہیں ہوں۔,آپ کی بات سمجھ رہا ہوں، آئیے وجوہات پر بات کر لیتے ہیں تاکہ بہتر فیصلہ ہو سکے۔,,,,,,,اس پر مجھے مزید تفصیلات کی ضرورت ہے، کیا آپ یہ بتا سکتے ہیں ک,,,,,,,مجھے وہ قسم کی فیصلہ نہیں لگتا۔,,,,,,,"""آپ کی رائے کا احترام کرتا ہوں۔""",,,,,,,I do not agree with this decision.,,,,,,
133,بیٹا، تمہیں زیادہ تحمل سے کام لینا چاہیے تھا۔,جی تایا جان، آپ کی بات سمجھ گیا ہوں آئندہ دھیان رکھوں گا۔,,,,,,,"Son, you should have taken more patience into account.",,,,,,,اب تک وقت ہے، آپ نے کافی تلاش کر سکتے ہیں۔,,,,,,,"""اب بھی کیا کرنا ہے؟ اب تک کی غلطیوں سے سبق لیجاؤ اور آگے ب",,,,,,,"""جی، آپ بالکل درست فرما رہے ہیں۔""",,,,,,
134,یار، یہ تو بہت ہی خراب تھا۔,چلو، اگلی بار تمہیں شکایت کا موقع نہیں دوں گا۔,,,,,,,"""جی، میں نے کبھی ایسا حال نہیں دیکھا تھا۔""",,,,,,,"""ہاں، واقعی یہ بہت مایوس کن تھا۔""",,,,,,,"""Friend, it was really bad.""",,,,,,,میرے پاس بھی کچھ نظر آئی۔,,,,,,
135,یہ غلطی سب کے سامنے نہیں ہونی چاہیے تھی۔,جی سر، غلطی ہو گئی، آئندہ زیادہ احتیاط کروں گا۔,,,,,,,"""آپ بالکل صحیح کہہ رہے ہیں، ایسی غلطیاں خفیہ رکھنی چاہیے تھیں۔""",,,,,,,"'''
# Generate a natural English response
generate_response(""This mistake should not have been made in front of everyone."")",,,,,,,یہ حقیقی ہیں، کسی کو اسے محسوس کرنا چاہئے۔,,,,,,,"""جی، یقیناً اس سے بہتر ہوتا اگر وہ کسی دوسرے طریقے سے حل کر ل",,,,,,
136,کل میری سالگرہ ہے، ضرور آنا۔,یار، ضرور آؤں گا، تمہاری سالگرہ کیسےبھول سکتا ہوں ۔,,,,,,,"""ضرور، میں آؤں گا! آپ کی سالگرہ مبارک ہو!""",,,,,,,میں آ رہا ہوں۔ کیسے پامنیں؟,,,,,,,آپ کی سالگرہ مبارک ہو! میں آپ کے ساتھ شاندار یادگار کرنے کے لیے آ,,,,,,,I will definitely come tomorrow for my birthday.,,,,,,
137,آج رات پارٹی ہے، آنا ہے؟,یار، ابھی پکا نہیں کہہ سکتا، لیکن کوشش کروں گا۔,,,,,,,جی، میں آئوں گا۔ کیا کررہے ہو؟,,,,,,,"""Yes, come to the party tonight.""",,,,,,,بلکہ، آتا ہوں، کیا کچھ خاصی بیان کرنا ہے؟,,,,,,,"""جی، میں آؤں گا!""",,,,,,
138,بیٹا، شادی میں ضرور آنا، تمہارے بغیر محفل ادھوری لگے گی۔,جی چچا جان، ان شاء اللہ ضرور آؤں گا۔,,,,,,,"Son, you must definitely attend the wedding; without you, the gathering will seem incomplete.",,,,,,,اب تک آنے کیلئے جانے، میں نے اسے بھی مطلع کر دیا۔,,,,,,,"""ابھی تو میری عمر بچپن کی ہے، مجھے ابھی کیا کرنا ہے؟""",,,,,,,"""جی امی، میں ضرور آؤں گا۔""",,,,,,
139,بیٹا، کل مہندی کی تقریب ہے، ضرور آنا۔,جی خالہ جان، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""پاپا جان، میں بھی آئوں گا، لیکن پہلے مجھے اپنی دکان سے ک",,,,,,,ابھی مہندی سے دوبارہ آنے کی وقت ہے، بھائی۔,,,,,,,"Son, there is a henna ceremony tomorrow, make sure to come.",,,,,,,"""جی امی، میں ضرور آؤں گا۔""",,,,,,
140,ہم نے کل ایک تقریب رکھی ہے، آپ ضرور تشریف لائیے گا۔,بہت شکریہ، ان شاء اللہ کوشش کروں گا کہ شریک ہو سکوں۔,,,,,,,"""آپ کیا کہتے ہیں؟ میں اس تقریب میں آنا چاہتا ہوں",,,,,,,"We had an event yesterday, you must come too.",,,,,,,ایک ملاقات کوئی بار ترقی دیتی ہے، آپ کی ضرورت کے مطابق میں تی,,,,,,,"""جی، میں ان شاء اللہ ضرور آؤں گا۔""",,,,,,
141,کل تقریب ہے، آپ ضرور آئیے گا۔,بہت شکریہ سر، ان شاء اللہ شرکت کرنے کی کوشش کروں گا۔,,,,,,,"""جی، میں ان شاء اللہ آؤں گا۔""",,,,,,,"""جی، میں ضرور آئوں گا، کیا تم یہاں سے آنے والے تھے؟""",,,,,,,"The next day is an event, you will definitely come.",,,,,,,میری طرف سے بھی آئیں گیا۔,,,,,,
142,یار، کل ایک فنکشن ہے، تم بھی ساتھ چلو۔,ہاں یار، اگر کوئی ضروری کام نہ نکلا تو میں ضرور چلوں گا۔,,,,,,,"""Friend, there is a function tomorrow, let's go together.""",,,,,,,"""کیا کیا؟ میں نے اس کی تفصیل تو نہیں پوچھی تھی، لیکن اب جب ک�",,,,,,,"""ضرور، مجھے خوشی ہوگی۔""",,,,,,,حتماً، میں آپ کے ساتھ چلتا ہوں۔ کہاں شروع کرنا چاہئے؟,,,,,,
143,یار، نہ آئے تو ناراض ہو جاؤں گا۔,یار، اب اتنا کہہ رہے ہو تو کوشش کروں گا ضرور آؤں۔,,,,,,,میری جانب سے توقع نہیں کرتا، لیکن میں اسے بھی پتھر کرتا ہوں,,,,,,,"""Friend, if you don't come, I will get angry.""",,,,,,,"""کوئی بات نہیں، بس تھوڑا سا انتظار کرو۔ میں جلد آنا ہوں",,,,,,,"""نہیں یار، میں ضرور آؤں گا!""",,,,,,
144,بیٹا، کل گھر پر دعوت ہے، آپ نے ضرور آنا ہے۔,جی ابا جی، ان شاء اللہ ضرور حاضر ہوں گا۔,,,,,,,"""Son, there is a gathering at home tomorrow, you must come.""",,,,,,,"""جی امی، میں ضرور آؤں گا۔""",,,,,,,"""جی، والد جان، میں ضرور آئیں گا، لیکن کیا وہ یاروں کے ساتھ آئی",,,,,,,اب تک آنے کی مہم کریں، چھوڑ کے نہیں رہنا۔,,,,,,
145,بیٹا، کل گھر میں تقریب ہے، تمہیں ضرور آنا ہے۔,جی امی جان، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""جی، والد جان، میں بھی آئیں گا، آپ کے حکم پر.""",,,,,,,"""جی امی، میں ضرور آؤں گا۔""",,,,,,,اب تک آنے کی کتنا نقصان ہے؟,,,,,,,"Son, there is an event at home tomorrow, you must come.",,,,,,
146,بس آ جانا، کوئی بہانہ نہیں چلے گا۔,یار، اگر کوئی ضروری کام نہ ہوا تو ضرور آؤں گا۔,,,,,,,"""جی، میں آؤں گا۔""",,,,,,,میری جانب سے کوئی بہانہ نہیں چلے گا، آ رہا ہوں۔,,,,,,,"'''
# Generate a random number between 1 and 5
random_number = random.randint(1, 5)

# Based on the random number, generate a different response each time
if random",,,,,,,"""تو کیا کرنا ہے؟""",,,,,,
147,بیٹا، عید پر سب اکٹھے ہوں گے، تم بھی ضرور آنا۔,جی، ان شاء اللہ ضرور آؤں گا۔,,,,,,,"Son, everyone will be together on Eid, you must come too.",,,,,,,"""جی امی، میں ضرور آؤں گا۔""",,,,,,,"""جی، والدجان، میں بھی آئیں گا، اللہ تعالیٰ تمہارے ساتھ ہم",,,,,,,اب تک میں نے کچھ نہیں کیا، لیکن میں عید پر آئےں گے۔,,,,,,
148,آفس میں ایک فنکشن رکھا ہے، آپ بھی ضرور آئیے گا۔,شکریہ، اگر مصروفیت نہ ہوئی تو ضرور شرکت کروں گا۔,,,,,,,"""جی، مجھے کیا کہنا تھا کہ وہاں کچھ اور لوگ موجود تھے۔""",,,,,,,میری پلіس جانتی ہے کہ آپ کی طرف سے دعوت کی گئی ہے، آپ نے,,,,,,,"I have an event at the office, you should definitely come too.",,,,,,,"""جی، میں ضرور آؤں گا۔ شکریہ!""",,,,,,
149,یار، آج ڈھولکی ہے، آنا لازمی ہے، کوئی بہانہ نہیں۔,چلو ٹھیک ہے یار، آج کوئی بہانہ نہیں بناؤں گا۔,,,,,,,"""ٹھیک ہے، میں ضرور آؤں گا۔""",,,,,,,"""جی، ضرور آؤ گا، میں بھی تم ساتھ ہوں گا۔ کیا کروں؟""",,,,,,,آگے بڑھنے کیلئے لازمی ہے، کسی بہانے کی ضرورت نہیں۔,,,,,,,"""Friend, today is Dholki, you must come, no excuse.""",,,,,,
150,کل کی تقریب میں آپ کی موجودگی ضروری ہے۔,جی سر، میں شرکت کرنے کی کوشش کروں گا۔,,,,,,,"""جی، میں کوشش کروں گا کہ وہاں پہنچ سکوں۔""",,,,,,,"""The presence of you is necessary in tomorrow's event.""",,,,,,,میری بہت س� کی عذراً لطفیہ کی نظر آئی۔,,,,,,,آپ کا بھی دعوت پر آنا ضرور ہوگا، میرے لیۓ یہ ایک خاص موقع ہے,,,,,,
151,سر، اگر اجازت ہو تو ایک سوال پوچھنا چاہتا ہوں۔,جی، ضرور پوچھیں، میں سننے کے لیے حاضر ہوں۔,,,,,,,کسی بھی وقت کیا کرنا چاہئیے؟,,,,,,,حتماً، آپ کے لیے مہربان رہوںگے، بات شروع کریں جس سے آپ سؤال,,,,,,,"""جی بالکل، آپ سوال پوچھ سکتے ہیں۔""",,,,,,,"""Sir, if it's okay, I would like to ask one question.""
'''
generate_urdu_response(""I have been feeling very sick lately and haven't been able to go to work."")
'''",,,,,,
152,ابو، کیا میں دوستوں کے ساتھ باہر جا سکتا ہوں؟,ہاں، جا سکتے ہو، مگر وقت کا خیال رکھنا۔,,,,,,,آپ کسی مسئلے سے پریشان ہیں؟ میں آپ کیلئے بہترین راستہ بیان,,,,,,,"""ہاں، لیکن جلدی واپس آنا۔""",,,,,,,"""Yes, you can go out with your friends.""",,,,,,,"""جی، بے شک، لیکن پہلے اپنی والدین سے اجازت لے کر آئیے۔""",,,,,,
153,امی، کیا میں اپنی دوست کے گھر جا سکتی ہوں؟,ہاں، مگر زیادہ دیر مت کرنا اور پہنچ کر مجھے بتا دینا۔۔,,,,,,,"""جی، بہت اچھا، میرے والدین کو یقین ہے کہ آپ سے ملنے پر خوش",,,,,,,"""ہاں بیٹا، جا سکتی ہو، لیکن جلدی واپس آنا۔""",,,,,,,بلکہ چاہئے تو آئیں۔,,,,,,,"""Yes, you can go to your friend's house.""",,,,,,
154,سر، ایک ضروری کام ہے، کیا میں آج تھوڑا جلدی جا سکتا ہوں؟,ٹھیک ہے، لیکن ضروری کام نمٹا کر جائیے گا۔,,,,,,,"""جی بالکل، آپ جا سکتے ہیں۔""",,,,,,,"""جی، ضرورت کی وجہ سے مجھے جلد کرنا پڑے گا، آپ کو بھی ضرور جلد آنا چ",,,,,,,"""Yes, you can leave early today.""",,,,,,,بلکہ، آپ آج تھوڑا جلدی جا سکتے ہوں۔ لطف کرتے رہیں۔,,,,,,
155,یار، ذرا اپنی بائیک دے دو، ایک کام سے جانا ہے۔,ہاں یار، لے جاؤ، کوئی مسئلہ نہیں۔,,,,,,,بھائی، میری بائیک آج نہیں ہے، لیکن میں کچھ دیگر طرح کا,,,,,,,"""بھائی، میری بائیک تو بہت ضروری ہے، میں نہیں دے سکتا۔""",,,,,,,"""کیا کیا ہوا؟ میں نے تو ابھی اسے چارج کر دیا تھا!""",,,,,,,"Friend, give me your bike for a moment, I have to go out on some business.",,,,,,
156,یار، ایک بات پوچھوں، برا تو نہیں نہ مانو گے؟,ارے نہیں یار، پوچھو جو پوچھنا چاہتے ہو۔,,,,,,,نہیں، بالکل نہیں! پوچھو، میں سن رہا ہوں۔,,,,,,,میں کسی کو نہیں نہیں مانتا یا نہیں نہیں نہیں مانتا۔ کہ,,,,,,,"""Friend, just one question, won't you refuse even if it's bad?""",,,,,,,"""کیا کروں، یار! کیا کہنا ہے?""",,,,,,
157,سر، اگر اجازت ہو تو میں اپنی فائل ابھی جمع کرا دوں؟,جی، اگر آپ کام مکمل کر چکے ہیں تو ابھی فائل جمع کرا سکتے ہیں۔,,,,,,,"""جی، بے شک، مجھے لکھنے کی ضرورت نہیں ہے، آپ اپنا کام کر لیج",,,,,,,"""May I bring my file now, sir?""",,,,,,,"""جی ہاں، آپ اپنی فائل جمع کرا سکتے ہیں۔""",,,,,,,بلکہ، آسانے سے فائل جمع کریں۔ کہاں تک جا رہے ہیں؟ میں نے آ,,,,,,
158,ابا جی، اگر آپ مصروف نہ ہوں تو آپ سے ایک بات کرنی تھی۔,جی بیٹا، کہو میں سن رہا ہوں۔,,,,,,,"""کیا ہوا؟ کیا مسئلہ ہے؟""",,,,,,,ابا جی، میں آپ کے لیے موجود ہوں۔ کیسے کرتے ہیں؟,,,,,,,"""جی بیٹا، کیا بات ہے؟""",,,,,,,"Dad, if you are not busy, I had something to say to you.",,,,,,
159,امی جان، اگر آپ کو کوئی اور کام نہیں تو میں تھوڑی دیر آرام کر لوں؟,ہاں بیٹا، ضرور، تم نے کافی کام کر لیا ہے اب کوئی کام نہیں، تم جا سکتی ہو۔,,,,,,,امی جان، میں بھی آرام لے رہا ہوں۔ کہاں تک آرام لائیں گے؟,,,,,,,"""نہیں جان، مجھے بھی کچھ کام ہے، لیکن آج رات سونے کی تیاریا",,,,,,,"""جی بیٹا، آرام کر لو، میں یہاں ہوں۔""",,,,,,,"Mom, if you don't have anything else to do, I can take a little break?",,,,,,
160,سر، کیا میں یہ فائل لے آؤں؟,فی الحال نہیں، میں آپ کو بتا دوں گا کب لانی ہے۔,,,,,,,"""Sir, may I bring this file?""",,,,,,,"""نہیں، ابھی نہیں، مجھے اس پر کام کرنا ہے، پھر تو تم ل�",,,,,,,بلکہ، آپ اس فایل کو لے آئیں۔,,,,,,,"""جی ہاں، براہ کرم لے آئیں۔""",,,,,,
161,یار، میں تمہارا فون لے رہا ہوں، ٹھیک ہے؟,ٹھیک ہے یار، لیکن جلد واپس کر دینا۔,,,,,,,"""Friend, I am taking your phone, okay?""""Yes, of course.""",,,,,,,"""نہیں، براہ کرم میرا فون مت لو۔""",,,,,,,جی، میں ٹھیک ہوں، کیا آپ کو ضرورت ہے؟,,,,,,,بلі، میں آپ کے پاس ہوں۔ کیسے مدد کر سکتا ہوں؟,,,,,,
162,ابو، پلیز، ایک بار جانے دیں۔,اچھا، اگر اتنا ضروری ہے تو چلے جاؤ، لیکن جلد واپس آ جانا۔,,,,,,,ایک بار جانے دیں، آپ کا مہربانی سامنہ رہنا چاہئے۔,,,,,,,"""بیٹا، میں سمجھتا ہوں، لیکن تمہیں اپنی پڑھائی پر توجہ دینی چاہیے۔""",,,,,,,"(Translate: ""Dad, please, let me go once."")
'''
# Generate a natural English response
import random

responses = [""Yes, of course."", ""I don't see why not",,,,,,,"""چلو، ابھی چل کر آئیں گا۔""",,,,,,
163,سر، مجھے ایک ضروری کام ہے، کیا میں آج تھوڑا پہلے جا سکتا ہوں؟,لیکچر ختم ہونے میں زیادہ وقت نہیں، بہتر ہے انتظار کر لو۔,,,,,,,"""Yes, you can leave early today.""
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add extra context. Do",,,,,,,"""جی بلکل، آپ جا سکتے ہیں۔""",,,,,,,"""جی، ضرور جاؤ، میرے پاس بھی کوئی کام ہے جو تم کرنے کی ضرورت ہے",,,,,,,بلکہ، آپ آج تھوڑا سا وقت پہلے جا سکتے ہیں۔,,,,,,
164,یار، اگر مسئلہ نہ ہو تو میں بھی ساتھ چلوں؟,ارے، کوئی مسئلہ نہیں، چلو ساتھ چلتے ہیں۔,,,,,,,"""بالکل، تمہیں ساتھ لے کر چلنے میں خوشی ہوگی!""",,,,,,,"Yes, if there is no problem, I will also go with you?",,,,,,,حتماً، میرے ساتھ رہنے کی مانیں۔,,,,,,,"""نہیں یار، تم جانتے ہی نہیں کہ وہ کیا کر رہا �",,,,,,
165,کیا میں دوستوں کے ساتھ باہر جا سکتا ہوں؟,ابھی نہیں، پہلے اپنا کام مکمل کرو، پھر جا سکتے ہو۔,,,,,,,جی، آپ اپنے دوستوں کے ساتھ باہر جانے کے لیے تیار ہیں۔,,,,,,,جی ہاں، آپ جا سکتے ہیں۔,,,,,,,"Yes, you can go outside with your friends.",,,,,,,حتماً جا سکتے ہوں، لیکن آپ نے کہا کیا دوستوں کے ساتھ؟,,,,,,
166,یار، تم نے کمال کام کیا ہے۔,شکریہ یار، بس تمہاری دعاؤں کا نتیجہ ہے، کوشش جاری ہے۔,,,,,,,"""آپ کی تعریف سے خوش ہو رہا ہوں، یہ میرا ایک معمولی کوشش تھی",,,,,,,شکریہ، میرے لیے اسے بھی زیادہ سعادت آتا ہے۔,,,,,,,شکریہ! تمہاری تعریف میرے لیے بہت معنی رکھتی ہے۔,,,,,,,"""Friend, you have done an excellent job.""",,,,,,
167,یار، آج تو بڑے ہی سمارٹ لگ رہے ہو۔,ارے چھوڑ یار، اتنی بھی تعریف نہ کرو۔,,,,,,,میری مزاحیت ہے، آپ کی صدای کیا چاہئے؟,,,,,,,"""Friend, you seem very smart today.""",,,,,,,"""جی، یار! آج کا دن تھوڑا سا اچھا لگیا ہے، لیکن ابھی بھی",,,,,,,"""شکریہ! تمہاری تعریف نے دن بنا دیا۔""",,,,,,
