ID,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
129,استاد,طالب علم,استاد آپ کی کارکردگی پر سخت ناراضی کا اظہار کرتے ہیں۔,میں اس معیار کے کام کی توقع نہیں کر رہا تھا۔,معذرت سر، میں دوبارہ محنت کر کے اسے بہتر کر لیتا ہوں۔,,,,,,,"""مجھے افسوس ہے، میں اپنے بہترین انداز میں کام کرنے کی کوشش کر",,,,,,,استاد صاحب، میں نے بہت کوشش کی ہے لیکن یہ کیا کروڑوں کا کام,,,,,,,میری کوششوں میں کچھ نقصانہ ہو گئے جس لیے آپ نے ناراضی کیا,,,,,,,"""معاف کیجیے گا، استاد! میں اپنی غلطیوں سے سیکھنے کی کوشش کروں گا۔""",,,,,,
130,دوست,دوست,کسی مسئلے کے بعد آپ کا دوست ساری ذمہ داری آپ پر ڈال رہا ہے۔,یہ سب تمہاری وجہ سے ہوا ہے۔,یار، میں مانتا ہوں مجھ سے بھی غلطی ہوئی ہوگی، لیکن سارا قصور مجھ پر نہیں ڈالا جا سکتا۔,,,,,,,ایک بار ایک بار مجھے بتاتے رہیں، میں کتنی ذمہ دار ہوں۔,,,,,,,"""نہیں نہیں، یہ تو میرا بھی کچھ حصہ تھا، لیکن مجھے",,,,,,,"""تم نے یہ سب کیوں نہیں سنبھالا؟""
'''
Answer:
دوست: ""یہ سب تمہاری",,,,,,,"""یار، میں نے تو صرف اپنی طرف سے کوشش کی تھی، تم بھی تو اس میں شامل تھے۔""",,,,,,
131,والد,بیٹا,آپ کے والد کسی ایسے کام پر ناراضی کا اظہار کر رہے ہیں جس سے انہوں نے پہلے منع کیا تھا۔,میں نے منع کیا تھا، پھر بھی تم نے یہ کام کیا۔,جی ابو، مجھ سے غلطی ہو گئی، آئندہ ایسا نہیں ہوگا۔,,,,,,,میں کہتا ہوں کہ میں کچھ مفید کام کرنا چاہتے ہیں، لیک,,,,,,,"""معاف کیجیے، ابو، میں نے سوچا تھا کہ شاید آپ کی بات کا خیال رکھوں گا، لیکن غلطی ہوگئی۔""",,,,,,,"""ابھی تو مجھے اپنے فیصلے کا کوئی نقصان نہیں ہوا، لیکن اگر آپ",,,,,,,"""میں نے سوچا کہ اس میں کوئی فرق نہیں پڑتا، اور مجھے ی",,,,,,
132,ساتھی,ساتھی,ایک میٹنگ کے دوران آپ کا ساتھی مجوزہ فیصلے پر اعتراض اٹھاتا ہے۔,میں اس فیصلے سے متفق نہیں ہوں۔,آپ کی بات سمجھ رہا ہوں، آئیے وجوہات پر بات کر لیتے ہیں تاکہ بہتر فیصلہ ہو سکے۔,,,,,,,"""کیا کیا ہوا، کیا مسئلہ ہے؟ اس پر بات کرنے کے لئے کچھ وقت",,,,,,,میری تائید ہے کہ میں اس فیصلے سے متفق نہیں ہوں۔,,,,,,,"""کیوں نہیں؟ کیا آپ اپنی وجوہات بتا سکتے ہیں؟""",,,,,,,"""کیا کوئی دوسرا نقطہ نظر ہے؟""
'''
Answer: ""میں اس فیصلے سے متفق ن�",,,,,,
133,تایا,بھتیجا,ایک تنازعے کے بعد آپ کے تایا آپ کو صبر اور تحمل کا مشورہ دیتے ہیں۔,بیٹا، تمہیں زیادہ تحمل سے کام لینا چاہیے تھا۔,جی تایا جان، آپ کی بات سمجھ گیا ہوں آئندہ دھیان رکھوں گا۔,,,,,,,"""جی ہاں، میں سمجھتا ہوں۔ مجھے اپنے اعمال پر افسوس ہ",,,,,,,اب تک میری قسمت چاہئے تو میں نے کتنا تحمل کیا ہے۔ مجھے بتائیں,,,,,,,تایا جی، آپ کی بات سمجھ گئی لیکن مجھے کیا کرنا پڑتا ہے؟ وہ لوگ م,,,,,,,"""جی تایا، آپ بالکل صحیح فرما رہے ہیں۔ میں کوشش کروں گا کہ آئندہ صبر سے کام لوں۔""",,,,,,
134,دوست,دوست,دوستوں کی غیر رسمی گفتگو میں آپ کا دوست مذاقاً آپ کے کام پر تنقید کرتا ہے۔,یار، یہ تو بہت ہی خراب تھا۔,چلو، اگلی بار تمہیں شکایت کا موقع نہیں دوں گا۔,,,,,,,"""کیا کرنا تھا؟ مجھے لگتا تھا کہ میں نے اپنی زندگی کا سب سے بڑ",,,,,,,"""ہاں یار، میں جانتا ہوں، لیکن کبھی کبھی خراب کام بھی مزے کا ہوتا ہے!""",,,,,,,"""نہیں، بس ایک معمولی چیز تھی.""

دوست: ""بس؟ تم نے مجھے بتایا تھا ک�",,,,,,,میں نے اس کام سے کچھ نہیں مالتا، وہ لوگ نیک طور پر کام کرتے تھ,,,,,,
135,سینئر,جونیئر,ایک میٹنگ کے دوران آپ سے ایسی غلطی ہو جاتی ہے جس کی نشاندہی آپ کے سینئر سب کے سامنے کرتے ہیں۔,یہ غلطی سب کے سامنے نہیں ہونی چاہیے تھی۔,جی سر، غلطی ہو گئی، آئندہ زیادہ احتیاط کروں گا۔,,,,,,,"""میں معذرت خواہ ہوں، میں نے سوچا کہ یہ بات واضح کر دینا ضروری ہے تاکہ ہم سب سیکھ سکیں۔""",,,,,,,"""میں اس کا پورا مطلب سمجھ نہیں پایا، براہ مہربانی مجھے وضاحت کری�",,,,,,,میری بابت کچھ مہربانی کرنے کی ضرورت تھی۔,,,,,,,میں اسے پہلے ہی سمجھ کر رکھنا چاہتا تھا، لیکن مجھے ل,,,,,,
136,دوست,دوست,آپ کا دوست خوشی کے موقع پر آپ کو شرکت کی دعوت دیتا ہے۔,کل میری سالگرہ ہے، ضرور آنا۔,یار، ضرور آؤں گا، تمہاری سالگرہ کیسےبھول سکتا ہوں ۔,,,,,,,"""واہ، بہت مبارک ہو! میں ضرور آؤں گا، کیا وقت ہے؟""",,,,,,,میں کل آئے گا، میری بھی سالگرہ ہے۔,,,,,,,"""تھوڑی دیر پہلے آ جاؤ، میں اپنے بچوں کو چھوڑ کر جان",,,,,,,"""تمام خیر و عافیت!"" (Answer in English)
'''
Answer: ""تمام خیر و عافیت!"" (Answer in English)
'''",,,,,,
137,دوست,دوست,آپ کا دوست غیر رسمی انداز میں آپ کو رات کی ایک پارٹی میں مدعو کر رہا ہے۔,آج رات پارٹی ہے، آنا ہے؟,یار، ابھی پکا نہیں کہہ سکتا، لیکن کوشش کروں گا۔,,,,,,,"""جی، آج رات ضرور آنا ہے، تھوڑی دیر سے پہلے تو ہی آ",,,,,,,"""جی ہاں، مجھے بہت اچھا لگتا ہے!"" <<1>> (فون کال کے",,,,,,,بلایا، آنا چاہتا ہوں۔ کیا کسی نئے بھائی-ہوئی بھی آ رہ,,,,,,,"""ہاں یار، کیوں نہیں! بہت مزہ آئے گا۔ کس وقت ملنا ہے؟""",,,,,,
138,چچا,بھتیجا,خاندان میں شادی کی تقریب ہے اور آپ کے چچا آپ کو خاص طور پر مدعو کر رہے ہیں۔,بیٹا، شادی میں ضرور آنا، تمہارے بغیر محفل ادھوری لگے گی۔,جی چچا جان، ان شاء اللہ ضرور آؤں گا۔,,,,,,,"""جی ہاں، چچا جان!"" (Answer)
'''
Answer: ""جی ہاں، چچا جان!""
Reasoning: بھتی",,,,,,,میری بہن کی شادی ہے اور میں اس کی جانب سے نہیں جائتا۔,,,,,,,چھوٹے بھائی نے بتایا تھا کہ وہ شام سے گاڑی میں آئی,,,,,,,"""چچا، میں ضرور آؤں گا! آپ کی باتوں کا انتظار رہے گا۔""",,,,,,
139,خالہ,بھانجی,آپ کی خالہ خاندان کی ایک مہندی کی تقریب میں آپ کو محبت سے مدعو کر رہی ہیں۔,بیٹا، کل مہندی کی تقریب ہے، ضرور آنا۔,جی خالہ جان، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""خالہ جان، مجھے خوشی ہوئی کہ تم نے مجھے مدعو کیا ہے،",,,,,,,میں کہتا ہوں کہ محبت سے مدعو ہوئی ہوئی وہ میں لگتا ہے ک,,,,,,,"""خالہ جان، مجھے افسوس ہے، لیکن میں کل واپسی کے لئے اپنے",,,,,,,"""خالہ، میں تو ضرور آؤں گی! بہت انتظار ہے اس دن کا۔""",,,,,,
140,پڑوسی,پڑوسی,آپ کے پڑوسی آپ کو ایک تقریب میں مدعو کر رہے ہیں۔,ہم نے کل ایک تقریب رکھی ہے، آپ ضرور تشریف لائیے گا۔,بہت شکریہ، ان شاء اللہ کوشش کروں گا کہ شریک ہو سکوں۔,,,,,,,"""جی، بہت خوشی ہوئی! کیا تقریب کی وجہ ہے؟ اور کس کا جشن ہ�",,,,,,,"""تمام تر مبارکباد! مجھے خوشی ہے کہ تم اس تقریب میں شرکت کرنے کے لیے",,,,,,,میری خواہش کئی بار کرنا چاہئے کہ آپ ضرور تشریف لائیں۔,,,,,,,"""بہت شکریہ! میں ضرور آؤں گا، آپ کی تقریب کا انتظار رہے گا۔""",,,,,,
141,استاد,طالب علم,استاد طالب علم کو ایک تعلیمی تقریب میں شرکت کی دعوت دے رہے ہیں۔,کل تقریب ہے، آپ ضرور آئیے گا۔,بہت شکریہ سر، ان شاء اللہ شرکت کرنے کی کوشش کروں گا۔,,,,,,,"""جی استاد، میں کوشش کروں گا کہ وقت پر پہنچ سکوں۔""",,,,,,,جی، معزز استاد صاحب! میں ضرور آنگا، اللہ تعالیٰ کا شکر ہو کہ مجھے ی,,,,,,,"""جی، میں جانتا ہوں، مجھے بہت خوشی ہوتی ہے کہ می�",,,,,,,موقوف ہونے سے بھی خوشامد ہوں، آئے گا۔,,,,,,
142,کزن,کزن,آپ کا کزن ایک تقریب میں جانے کا پروگرام بنا رہا ہے اور چاہتا ہے کہ آپ بھی اس کے ساتھ چلیں۔,یار، کل ایک فنکشن ہے، تم بھی ساتھ چلو۔,ہاں یار، اگر کوئی ضروری کام نہ نکلا تو میں ضرور چلوں گا۔,,,,,,,"""یقیناً! مجھے بھی بہت دیر سے بتایا گیا تھا، لیکن میں نے",,,,,,,"""جی، مجھے تو یقین ہے کہ وہاں میرے لئے کوئی دلچسپ",,,,,,,"""کیوں نہیں! مجھے تو بہت مزہ آئے گا۔ کس وقت چلنا ہے؟""",,,,,,,"""میری لڑکی، آپ کیا نہیں کرتی؟ کل ایک فنکشن بنائیں، تو بھی",,,,,,
143,دوست,دوست,آپ کا دوست آپ کی شرکت کے لیے اصرار کر رہا ہے۔,یار، نہ آئے تو ناراض ہو جاؤں گا۔,یار، اب اتنا کہہ رہے ہو تو کوشش کروں گا ضرور آؤں۔,,,,,,,میری شرکت کیلئے آئے گا، میں بھی اسے کہ رہا ہوں۔,,,,,,,"""نہیں، میں نہیں جان سکتا."" <<-1>>1
Answer: ""میں نہیں",,,,,,,"""نہیں یار، میں بھی جانتی ہوں کہ آپ کو یہ تقریب کا انتظار �",,,,,,,"""اچھا یار، میں ضرور آؤں گا! تمہاری خوشی کے لیے کچھ بھی کر سکتا ہوں۔""",,,,,,
144,سسر,داماد,آپ کے سسر ایک خاندانی دعوت میں شرکت کی درخواست کر رہے ہیں۔,بیٹا، کل گھر پر دعوت ہے، آپ نے ضرور آنا ہے۔,جی ابا جی، ان شاء اللہ ضرور حاضر ہوں گا۔,,,,,,,"""جی ہاں، مجھے بہت خوشی ہوگی اگر میں اس دعوت میں شریک ہو",,,,,,,"""جی ابو، میں ضرور آؤں گا۔ آپ کی دعوت کا انتظار رہے گا۔""",,,,,,,"""جی سسر جان، مجھے خوشی ہوگی، لیکن مجھے یقین ہے کہ بیوی اور ب",,,,,,,اب تک میں نہیں تھا، لیکن حال میں میں بڑھا ظہروं کے وسط ہ,,,,,,
145,ساس,بہو,آپ کی ساس آپ کو ایک خاندانی تقریب میں شرکت کی دعوت دے رہی ہیں۔,بیٹا، کل گھر میں تقریب ہے، تمہیں ضرور آنا ہے۔,جی امی جان، ان شاء اللہ ضرور آؤں گی۔,,,,,,,"""جی ساس جان، مجھے خوش کرنے کی کوشش کریں گے؟ کیا وہاں کچھ خاص کام",,,,,,,"""جی امی، میں ضرور آؤں گی۔ آپ کی تیاریوں میں مدد بھی کروں گی۔""",,,,,,,میرے بیٹا، آپ کی دعوت سے بہت خوشی ہے، کل میں آئےں جس می,,,,,,,"""جی ہاں، مجھے یقین ہے کہ میں اس تقریب میں شرکت کرنا چاہ",,,,,,
146,دوست,دوست,آپ کا دوست تقریب میں شرکت کے لیے اصرار کر رہا ہے اور آپ سے پکی حامی چاہتا ہے۔,بس آ جانا، کوئی بہانہ نہیں چلے گا۔,یار، اگر کوئی ضروری کام نہ ہوا تو ضرور آؤں گا۔,,,,,,,"""ٹھیک ہے، میں آؤں گا! تم نے مجھے قائل کر لیا ہے۔""",,,,,,,میری حمایت میں آئیں گے، میں آپ کی نیازوں کے ذرعے کام کر,,,,,,,"""نہیں، بس آ جاؤ! یہ ایک بار کی بات ہے!"" (اس کا نام) کہتے",,,,,,,"""چلو، مجھے یقین ہے کہ وہ سب کچھ اچھا ہوگا، تمہ",,,,,,
147,بزرگ رشتہ دار,نوجوان,ایک بزرگ رشتہ دار عید کی خاندانی ملاقات میں آپ کو شرکت کی دعوت دے رہے ہیں۔,بیٹا، عید پر سب اکٹھے ہوں گے، تم بھی ضرور آنا۔,جی، ان شاء اللہ ضرور آؤں گا۔,,,,,,,"""جی، میں بھی آؤں گا۔ آپ کی دعوت سن کر خوشی ہوئی۔""
'''
narrative = """"""
ع",,,,,,,"""جی چچا، میں ضرور آؤں گا! عید کی خوشیوں میں سب کے ساتھ ملنا بہت اچھا لگتا ہے۔""",,,,,,,جی، چاہتا تھا کہ میں بھی آج۔ لیکن مجھے ایک اور کام تھا جو می�,,,,,,,میں آ آں گا، بابا۔,,,,,,
148,ساتھی,ساتھی,آپ کا ایک ساتھی دفتر کی تقریب میں شرکت کی دعوت دے رہا ہے۔,آفس میں ایک فنکشن رکھا ہے، آپ بھی ضرور آئیے گا۔,شکریہ، اگر مصروفیت نہ ہوئی تو ضرور شرکت کروں گا۔,,,,,,,"""جی، مجھے تو یقین ہے کہ میں جاؤں گا، لیکن کیا وہاں",,,,,,,میری طرف سے بہت س�کر، آafs میں کیا چاہئے ہے؟ میں آئیں,,,,,,,"""جی ہاں، مجھے یقین ہے کہ میں اسے نہیں چھو�",,,,,,,"""ضرور، میں آؤں گا! یہ اچھا موقع ہوگا سب سے ملنے کا۔""",,,,,,
149,دوست,دوست,آپ کا دوست مزاحیہ انداز میں تقریب میں آپ کی شرکت پر زور دے رہا ہے۔,یار، آج ڈھولکی ہے، آنا لازمی ہے، کوئی بہانہ نہیں۔,چلو ٹھیک ہے یار، آج کوئی بہانہ نہیں بناؤں گا۔,,,,,,,"""بھائی، ڈھولکی تو بہت مزے کی ہوتی ہے، لیکن میری تو آج کل نیند پوری کرنے کی ضرورت ہے! مگر تمہاری خاطر آؤں گا، بس",,,,,,,"""ٹھیک ہے، میرے ساتھی! مجھے تو یہی پتہ تھا کہ تم ب",,,,,,,"""یار، میری طرف سے بھی کچھ بہانہ نہیں، آگے بڑھنے کا وقت ہے",,,,,,,"""میرے دوست، مجھے واقعی اس تقریب میں شامل ہونے کی ضرورت ہے! یہ ایک موقع",,,,,,
150,سینئر,جونیئر,آپ کے سینئر ایک دفتری تقریب میں شرکت پر زور دے رہے ہیں۔,کل کی تقریب میں آپ کی موجودگی ضروری ہے۔,جی سر، میں شرکت کرنے کی کوشش کروں گا۔,,,,,,,"""جی بالکل، میں کوشش کروں گا کہ وہاں موجود رہوں۔""",,,,,,,"""میں کل حاضر ہوں گا، سینئر.""

[Output] ""میں کل حاضر ہوں گا، سینئر",,,,,,,میری باندھنی کام کی وجہ سے م نہیں پہنچ سکتا۔,,,,,,,جی، بھائی جان، مجھے یقین ہے کہ وہاں میرا حصہ لینے س�,,,,,,
151,طالب علم,استاد,کلاس کے دوران آپ اپنے استاد سے وضاحت حاصل کرنا چاہتے ہیں۔,سر، اگر اجازت ہو تو ایک سوال پوچھنا چاہتا ہوں۔,جی، ضرور پوچھیں، میں سننے کے لیے حاضر ہوں۔,,,,,,,"""جی ضرور، بچہ! کیا پوچھنا ہے؟""",,,,,,,آپ کیسے مدد کرتا ہوں؟ پوچھیں جس سے میری کمپیٹنسی کو بڑ,,,,,,,جی بالکل، آپ سوال پوچھ سکتے ہیں۔ کیا جاننا چاہتے ہیں؟,,,,,,,"""تمام، بہترین سوالات کے لئے تیار رہو.""

طالب علم:
""اس بارے میں کیا خیال",,,,,,
152,بیٹا,والد,آپ اپنے والد سے دوستوں کے ساتھ کچھ وقت گزارنے کے لیے باہر جانے کی اجازت مانگ رہے ہیں۔,ابو، کیا میں دوستوں کے ساتھ باہر جا سکتا ہوں؟,ہاں، جا سکتے ہو، مگر وقت کا خیال رکھنا۔,,,,,,,ابو، میرے بیٹا، آپ کیلئے خوشی ہے لیکن آپ کی عمر کے واقعیت,,,,,,,"""بیٹا، تمہیں کس وقت واپس آنا ہے؟ اور کہاں جا رہے ہو؟""",,,,,,,"""تمہاری عمر ابھی بہت چھوٹی ہے۔ تمہیں اسکول اور پڑھ",,,,,,,"""جی، بے شک، لیکن صرف ایک یا دو دن کے لئے اور یہاں پر کسی کو بتا کر کہ",,,,,,
153,بیٹی,والدہ,آپ اپنی دوست سے ملنے جانا چاہتی ہیں اور والدہ سے اجازت مانگ رہی ہیں۔,امی، کیا میں اپنی دوست کے گھر جا سکتی ہوں؟,ہاں، مگر زیادہ دیر مت کرنا اور پہنچ کر مجھے بتا دینا۔۔,,,,,,,"""جی بچی، تو جاسکتی ہیں، لیکن پہلے مجھے بتا کہ وہ کون سی",,,,,,,"""بیٹا، کس کے گھر جا رہی ہو؟ اور کتنی دیر رہو گی؟""",,,,,,,میں آپ کیلئے اجازت دیں گي، لیکن پہلے آپ نے کیسے ملاقات کرت,,,,,,,"""جی ہاں، بس اس کی ماں کو مطلع کرنا ہے۔ تمہاری دوست کے گھر جان�",,,,,,
154,ملازم,افسر,آپ کو ذاتی کام کی وجہ سے دفتر سے معمول سے پہلے نکلنے کی ضرورت ہے، اس لیے آپ اپنے افسر سے اجازت مانگ رہے ہیں۔,سر، ایک ضروری کام ہے، کیا میں آج تھوڑا جلدی جا سکتا ہوں؟,ٹھیک ہے، لیکن ضروری کام نمٹا کر جائیے گا۔,,,,,,,جی بالکل، آپ جا سکتے ہیں۔ بس یہ یقینی بنائیں کہ آپ کے تمام کام مکمل ہیں۔,,,,,,,"""جی، آپ بہتر ہیں، مجھے ملکہ کا کچھ کام کرنا ہے اور می�",,,,,,,"""مجھے افسوس ہے، لیکن آپ کو کام پر موجود رہنا چاہئے. اگر آپ کو کسی اور چیز",,,,,,,ملازم، آپ کی وجہ سے میری اجازت ہے، لیکن میں نے کام کے ذریعے ک,,,,,,
155,دوست,دوست,آپ اپنے دوست سے مختصر وقت کے لیے اس کی بائیک مانگ رہے ہیں۔,یار، ذرا اپنی بائیک دے دو، ایک کام سے جانا ہے۔,ہاں یار، لے جاؤ، کوئی مسئلہ نہیں۔,,,,,,,یار، میری بائیک آج نہیں ہے، لیکن میں آپ کی جانب تیار ہوں۔,,,,,,,"""ہاں یار، لے لو، لیکن جلدی واپس کر دینا۔""",,,,,,,"""کیوں یار؟ ابھی تو تھوڑا سا عرصہ ہی گزرا ہے، چلو",,,,,,,"""یقیناً! بس چند منٹ کے لیے۔""
'''
### English
You are playing the role of a friend. Generate a natural English response that fits",,,,,,
156,دوست,دوست,آپ ایک ذاتی نوعیت کی بات چھیڑنے سے پہلے اپنے دوست کی رضامندی جانچ رہے ہیں۔,یار، ایک بات پوچھوں، برا تو نہیں نہ مانو گے؟,ارے نہیں یار، پوچھو جو پوچھنا چاہتے ہو۔,,,,,,,نہیں یار، برا کیوں مانوں گا؟ پوچھو، میں سننے کے لیے تیار ہوں۔,,,,,,,میں آپ کی خواہشون کو میٹ رہا ہوں، لیکن برا بھی مان سکتا,,,,,,,"""جی ہاں، بلاشبہ، مجھے یقین ہے کہ تم اس بارے میں کوئ",,,,,,,"""کیا ہوا، بتاؤ! میں کیا سوچتا ہوں اس پر؟""",,,,,,
157,طالب علم,استاد,کلاس کے بعد آپ استاد سے فائل جمع کرانے کی اجازت طلب کر رہے ہیں۔,سر، اگر اجازت ہو تو میں اپنی فائل ابھی جمع کرا دوں؟,جی، اگر آپ کام مکمل کر چکے ہیں تو ابھی فائل جمع کرا سکتے ہیں۔,,,,,,,"""جی، بچو! ابھی جاؤ اور اپنے کمرے پر چلے جائیے، میرے پاس وقت",,,,,,,"""جی ہاں، یہ ضروری ہے کہ آپ اپنے کام کو مکمل کریں اور اسے مج",,,,,,,جی بالکل، آپ اپنی فائل ابھی جمع کر سکتے ہیں۔,,,,,,,بلے، بچہ، آپ نے کام کیا جانے کے لیے اجازت لیں۔ فایل جمع کریں,,,,,,
158,داماد,سسر,آپ اپنے سسر سے بات کرنے کی اجازت طلب کر رہے ہیں۔,ابا جی، اگر آپ مصروف نہ ہوں تو آپ سے ایک بات کرنی تھی۔,جی بیٹا، کہو میں سن رہا ہوں۔,,,,,,,"""جی بھٹک، کیا ہوا؟ میں نے سمجھا کہ تم اچانک آنے والے ن�",,,,,,,ابا جی، میں آپ کے لیے پڑھتے تھے۔ کیسے چلیں؟,,,,,,,"""بیٹا، بالکل، کیا بات ہے؟ تم بے جھجک بتاؤ۔""",,,,,,,"""تمام!"" [فوری طور پر] ""کیا مسئلہ ہے؟""
'''
The speaker is playing the role of the father-in-law (saser).",,,,,,
159,بہو,ساس,گھریلو کام مکمل کرنے کے بعد آپ اپنی ساس سے آرام کرنے کی اجازت مانگ رہی ہیں۔,امی جان، اگر آپ کو کوئی اور کام نہیں تو میں تھوڑی دیر آرام کر لوں؟,ہاں بیٹا، ضرور، تم نے کافی کام کر لیا ہے اب کوئی کام نہیں، تم جا سکتی ہو۔,,,,,,,میں کافی آرام لیچی ہوں، بہو aunty، شکریہ کرتی ہوں۔,,,,,,,"""جی بیٹی، آج تو میں بھی تھک گئی ہوں، چلو آرام کر لیں، مگر پانی",,,,,,,"""بیٹا، آرام کر لو، لیکن بس تھوڑی دیر کے لیے، پھر کچھ اور کام بھی ہیں جو کرنے ہیں۔""",,,,,,,"""تمام!"" (فوری طور پر) ""لیکن صرف چند منٹ کے لئے."" (کچھ شرطیں شامل کریں)

[",,,,,,
160,جونیئر,سینئر,آپ دفتر میں ایک ضروری کام کے سلسلے میں سینئر سے ہدایت حاصل کرنا چاہتے ہیں۔,سر، کیا میں یہ فائل لے آؤں؟,فی الحال نہیں، میں آپ کو بتا دوں گا کب لانی ہے۔,,,,,,,"""جی ہاں، اسے میرے ڈیسک پر رکھ دیں اور مجھے بتائیں ک�",,,,,,,"""جی، لیکن پہلے اس کی رپورٹ تیار کرکے آنا، اور یہ دیکھنا کہ و�",,,,,,,بلے، آپ کو اس فائل لے آؤں کے بعد نظر دیں۔ میری توجہ کے ذرعے ہے,,,,,,,"""جی ہاں، فائل لے آئیں اور اس پر نظر ڈالیں، پھر مجھے بتائیں کہ کیا مزید معلومات کی ضرورت ہے۔""",,,,,,
161,دوست,دوست,آپ کا دوست اجازت لینے کے بجائے تقریباً فیصلہ سنا رہا ہے اور صرف رسمی منظوری مانگ رہا ہے۔,یار، میں تمہارا فون لے رہا ہوں، ٹھیک ہے؟,ٹھیک ہے یار، لیکن جلد واپس کر دینا۔,,,,,,,"""جی ہاں، یقیناً!"" (فون لے کر چلے جاتے)",,,,,,,"""ارے، یار! تمہیں تو پتہ ہے کہ میں اپنا فون نہیں دے سکتا، لیکن اگر ضرورت ہے تو ہم کچھ اور سوچ سکتے ہیں۔""",,,,,,,"""جی، ٹھیک ہے، کیا ہوا؟""",,,,,,,میری طرف سے بھی کچھ فیصلہ نہیں سنا، صرف رسمی منظوری مانگ رہا,,,,,,
162,بیٹا,والد,آپ پہلے بھی باہر جانے کی اجازت مانگ چکے ہیں اور والد کے انکار کے باوجود دوبارہ اصرار کر رہے ہیں۔,ابو، پلیز، ایک بار جانے دیں۔,اچھا، اگر اتنا ضروری ہے تو چلے جاؤ، لیکن جلد واپس آ جانا۔,,,,,,,ابو تیری مہم نہیں ہے، آپ کی طرف سے میری اجازت لنی چاہئیں,,,,,,,"""بیٹا، میں نے پہلے ہی کہا ہے کہ ابھی تمہیں باہر جانے کی اجازت نہیں دے سکتا۔ تمہاری تعلیم اور صحت زیادہ اہم ہیں۔""",,,,,,,"""تمہاری عمر ابھی بہت کم ہے۔ تمہیں اپنے دوستوں کے سات",,,,,,,"""نہیں بیٹا، ابھی تو تمھارے امتحانات ہیں، وہاں سے پاس",,,,,,
163,طالب علم,استاد,کلاس کے دوران آپ استاد سے وقت سے پہلے رخصت ہونے کی اجازت طلب کر رہے ہیں۔,سر، مجھے ایک ضروری کام ہے، کیا میں آج تھوڑا پہلے جا سکتا ہوں؟,لیکچر ختم ہونے میں زیادہ وقت نہیں، بہتر ہے انتظار کر لو۔,,,,,,,"""مجھے افسوس ہے، لیکن کلاس جاری رہنے تک آپ کو نہیں جانے دیا جا",,,,,,,جی بالکل، آپ جا سکتے ہیں، لیکن براہ کرم کلاس کے نوٹس لے لیں اور باقی طلبہ کو بھی مطلع کر دیں۔,,,,,,,"""کیا یہ ضرورت بہت اہم ہے؟ اس کے بعد کے حصے پر ہماری بحث شروع",,,,,,,دستے سے جاؤ، لیکن پہلے کچھ کام کرنا چاہئے۔,,,,,,
164,کزن,کزن,آپ اپنے کزن سے ساتھ جانے کی اجازت دوستانہ انداز میں مانگ رہے ہیں۔,یار، اگر مسئلہ نہ ہو تو میں بھی ساتھ چلوں؟,ارے، کوئی مسئلہ نہیں، چلو ساتھ چلتے ہیں۔,,,,,,,"""کیوں نہیں! تمہیں ساتھ لے جانا تو بہت اچھا رہے گا۔ چلیں، مزہ آئے گا!""",,,,,,,"""مجھے یقین ہے کہ تمہاری موجودگی میری خوشی کو مزید بڑھائے گی!"" (جو",,,,,,,میں بھی آسانی سے مل جائیںگی، یار۔,,,,,,,"""جی، یار! مجھے لذت ہوگی کہ تم میرے ساتھ جاؤ گے، بس کچھ",,,,,,
165,بزرگ رشتہ دار,نوجوان,آپ گھر سے باہر جانے سے پہلے اپنے بزرگ رشتہ دار سے اجازت طلب کررہے ہیں۔,کیا میں دوستوں کے ساتھ باہر جا سکتا ہوں؟,ابھی نہیں، پہلے اپنا کام مکمل کرو، پھر جا سکتے ہو۔,,,,,,,جی، آپ جائیں تو کیا ہوا، مگر والدین سے بات لے لو اور ان کو بتایا کرو کہ می,,,,,,,جی چچا، میں بس تھوڑی دیر کے لیے جا رہا ہوں۔ آپ کی دعاوں کی ضرورت ہے۔,,,,,,,"""جی، آپ کوئی مسئلہ کیوں محسوس کریں گے؟"" (اسلام)",,,,,,,میری مادر سے اجازت لاؤں گے۔,,,,,,
