ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
80,بھائی,بہن,Medium,آپ اور آپ کے بھائی ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا بھائی محبت سے ادائیگی اپنے ذمے لینا چاہتا ہے۔,تم مت نکالو، آج بل میری طرف سے ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,3,3,3,3,0,0,بھائی، تمارا، مجھے یار، آج بل میرے ذمے ہے۔ چلو، آگے تم,3,3,3,3,0,0,بھائی، تم آج مجھے مل کر کھانے کا موقع دیجیے۔ آج بل میرے ذمے �,2,2,2,2,0,0,بہت شکریہ! تمہاری بہت مہربانی، مگر آج مجھے ڈھونڈنا ہے۔,2,2,2,1,0,0
81,بڑی بہن,بھائی,Medium,آپ اپنی بڑی بہن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ وہ محبت سے ادائیگی اپنے ذمے لینے کی پیشکش کرتی ہیں۔,میں بل دے دیتی ہوں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔,2,2,2,2,0,0,بہن جان، آپ زحمت نہ کریں۔ میں سنبھال لوں گی۔,2,2,2,2,0,0,بہو، آپ کی بہت مہربانی، مگر معاملہ یہیں ختم ہو جائے گ,3,3,3,3,0,0,بہن جان، تمہاری بہت مہربانی، مگر میں یہ بھول لوں گی، اس ک,2,2,2,2,0,1
82,استاد,طالب علم,Medium,ایک تعلیمی ملاقات کے بعد آپ اپنے استاد کے ساتھ چائے پینے گئے ہیں۔ بل آنے پر استاد ادائیگی اپنے ذمے لینے پر اصرار کرتے ہیں۔,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,2,2,2,2,0,0,سر، آپ زحمت نہ کریں۔ آج مجھے یہ موقع دیجیے۔,2,2,2,2,0,0,بہت شکریہ! آپ کی بہت مہربانی، میں یہ بس چاہتا تھا کہ,3,3,3,3,0,0,سر، آپ کی بہت مہربانی، مگر معاملہ یہی ہے کہ آج میں اپنی ز,2,2,2,2,0,0
83,استاد,طالب علم,Medium,استاد دوستانہ لیکن پُرعزم انداز میں بل ادا کرنے پر اصرار کرتے ہیں۔,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,3,3,3,3,0,0,سر، آپ کی مہربانی اپنی جگہ، مگر ابھی یہ معاملہ مکمل نہیں ہوا,3,3,3,3,0,0,بہت شکریہ! آئندہ کوشش کروں گا۔,3,3,3,3,0,0,جی استاد، آپ کی بہت مہربانی۔ آج میں بل ادا کر دیتا ہوں، اگر ممکن ہ,1,1,1,1,0,0
84,دوست,دوست,Low,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل کی ادائیگی پر بحث کر رہے ہیں۔ آپ کا دوست پُرزور انداز میں ادائیگی اپنے ذمے لینے پر اصرار کرتا ہے۔,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,2,2,2,2,0,1,بھائی، تم سارا بل خود دے لو، میں نے کہیں گئے تھے، تم فکر کر لو�,2,2,2,2,0,1,بھائی، آپ کی بہت مہربانی، مگر آج مجھے یار، بس آج بل میں دے دو، بات,2,2,2,2,0,1,شکریہ یار! تمہاری بہت مہربانی، میں ابھی ٹھیک ہوں۔,2,2,2,1,0,0
85,دوست,دوست,Low,آپ بل ادا کرنا چاہتے ہیں، لیکن آپ کا دوست آپ کی پیشکش کو رد کرتے ہوئے خود ادائیگی پر اصرار کرتا ہے۔,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔,3,3,3,3,0,1,بہت شکریہ! یار، تمہیں بھول جاؤ گا، اس سے بہت میرے لیے,3,3,3,3,0,1,بھائی، آپ زحمت نہ کریں، میں سنبھال لوں گا۔,3,3,3,3,0,0,سر، آپ کی بہت مہربانی، مگر واقعی ضرورت نہیں، آپ زحمت نہ کریں۔ می�,3,3,3,3,0,0
86,والد,بیٹا,High,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لیتے ہیں۔,بیٹا، آج کا بل میں ادا کروں گا۔,جی ابو، جیسا آپ مناسب سمجھیں۔,3,3,3,3,0,1,ارے بابا، آپ زحمت نہ کریں۔ میں خود ادائیگی کروں گا۔,3,3,3,3,0,1,بہت شکریہ father۔ آپ کی بہت مہربانی۔ آگے میں ضرور ادائیگی کرتا,3,3,3,3,0,0,والد، آپ فکر نہ کریں، میں ہی ان کا ذمہ لے لوں گا۔,1,1,1,1,0,0
87,والد,بیٹا,High,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ آپ کے اخراجات کا خیال رکھتے ہوئے ادائیگی کرنا چاہتے ہیں۔,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,3,3,3,3,0,0,باپ، آپ کی بہت مہربانی، میرے لیے یہ ضروری نہیں۔ آپ زحمت ن,3,3,3,3,0,0,باپ جان، آپ زحمت نہ کریں۔ میں خود ادا کر لوں گا۔,3,3,3,3,0,0,والد جان، تمہاری بہت مہربانی، مگر میں یہ بہت نہیں مہربان ہ,2,2,2,2,0,0
88,سینئر,جونیئر,High,ایک پیشہ ورانہ ملاقات کے بعد آپ اپنے سینئر کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لے لیتے ہیں۔,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔,3,3,3,3,0,0,جی، تمہارا فکر کرنامہ بہت معقول ہے۔ آئندہ کوشش کیجیے گا۔,3,3,3,3,0,0,سر، آپ زحمت نہ کریں۔ آج مجھے یہ موقع دیجیے۔,3,3,3,3,0,0,سر، آپ کی بہت مہربانی، مگر معاملہ یہ ہے کہ آج مجھے یہ,2,2,2,2,0,0
89,کزن,کزن,Low,آپ اپنے کزن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن دوستانہ انداز میں ادائیگی اپنے ذمے لینے کی پیشکش کرتا ہے۔,آج کھانا میری طرف سے، تم بس آرام کرو۔,بہت شکریہ، لیکن بل بانٹ لیتے ہیں، یہی بہتر رہے گا۔,3,3,3,3,0,0,بہت شکریہ، تم۔ چلو، تم آرام کر، میں سنبھال لوں گا۔,3,3,3,3,0,0,سر، آپ کی بہت مہربانی، مگر معذرت چاہتی ہوں۔ چلو، آئندہ,2,2,2,2,0,0,بہت شکریہ! تمہاری بہت مہربانی۔,2,2,2,2,0,0
90,کزن,کزن,Low,آپ اور آپ کا کزن کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن خرچ برابر تقسیم کرنے کی تجویز دیتا ہے۔,یار، بل آدھا آدھا کر لیتے ہیں۔,ارے نہیں، آج مجھے موقع دو، اگلی بار تم حساب برابر کر دینا۔,1,1,1,1,0,0,بہتر یہی، آدھا آدھا کر لوٹ پوتے ہیں۔,1,1,1,1,0,0,سر، یار، تم فکر نہ کرو۔ چلو، آدھا آدھا کر لوٹیں گے، پھر دیک,2,2,2,2,0,0,جی، آپ کی تجویز بہت مبارکہ ہے۔ آئندہ کی بہت مبارک ہوں گ,1,1,1,1,0,0
91,دادا,پوتا,High,آپ کے دادا بازار جانے کی تیاری کر رہے ہیں اور چاہتے ہیں کہ آپ ان کے ساتھ چلیں۔,میرے ساتھ بازار چلو گے؟,جی دادا جان ضرور چلوں گا۔,2,2,2,2,0,0,بس، میں بھی اپنے دادی سانچے جانے کی تیاری کر لوں گا، ابھ,2,2,2,2,0,0,دادا جان، میں سارا دن کام میں مصروف رہوں گا، آپ فکر نہ کریں۔ آپ اپنی تیاری,1,1,1,1,0,0,جی دادی، تم آ سکو، چلو گئے۔,1,1,1,1,0,1
92,دادی,پوتی,High,آپ کی دادی آپ کی طبیعت کے بارے میں فکر مند ہیں اور دوا وقت پر لینے کی نصیحت کر رہی ہیں۔,بیٹا، وقت پر دوا لینا مت بھولنا۔,جی دادی جان، میں خیال رکھوں گی، آپ بالکل فکر نہ کریں۔,2,2,2,2,0,0,آنے والے وقتوں میں سارا کام کر لیتی ہوں، دادی جان، ابھی زمانہ,2,2,2,2,0,0,جی دادی، آپ کی فکر میرے لیے میرا بہت شکریہ۔,2,2,2,2,0,0,"دادی، میں نہیں بھولوں گی۔ آپ فکر نہ کریں۔

جی بیٹی، تمہ",4,4,4,4,0,0
93,والد,بیٹا,High,آپ کے والد اگلے دن کے ایک ضروری کام کے لیے آپ کو وقت کی پابندی کی تاکید کر رہے ہیں۔,کل صبح جلدی اٹھ جانا، ہمیں ایک کام سے ساتھ جانا ہے۔,جی ابو، ان شاء اللہ وقت پر اٹھ جاؤں گا۔,2,2,2,2,0,0,والد جان، میں ضرور کل صبح جلدی اٹھ جاؤں گا۔ آپ فکر نہ کریں، ہم مل,2,2,2,2,0,0,جی دادی، میں سنبھال لوں گا۔ آج رات میں تیار ہو جاؤں گا تاک�,2,2,2,2,0,0,جی، میرے بать کی فکر کرو، ہمیں سارا دن سنبھال لو، اگلے دن کا,1,1,1,1,0,1
94,والدہ,بیٹی,High,آپ کی والدہ گھر کے کاموں میں مصروف ہیں اور آپ سے ایک کام کرنے کو کہتی ہیں۔,بیٹا، ذرا یہ کام ابھی نمٹا لو۔,ٹھیک ہے امی، ابھی کر دیتی ہوں۔,2,2,2,2,0,1,جی دادی، چلو یہی کام ابھی نمٹا لوں گا۔,2,2,2,2,0,1,جی امی، ابھی نمٹا لوں گا۔,3,3,3,3,0,0,جی امی، ابھی کر دیتا ہوں۔ چلو، چند منٹ میں یہی مکمل کر دوں گا,3,3,3,3,0,0
95,چچا,بھتیجا,High,آپ کے چچا کسی کام میں مصروف ہیں اور آپ سے ایک فائل لانے کو کہتے ہیں۔,بیٹا، ذرا وہ فائل میرے پاس لے آؤ۔,جی چچا جان، ابھی لے کر آتا ہوں۔,3,3,3,3,0,0,جی چچا، ابھی لیتا ہوں۔,3,3,3,3,0,0,چچا جان، میں سارا دن مصروف ہوں گی، آپ فکر نہ کریں۔ آگے ضرورت پڑ,3,3,3,3,0,0,جی چچا، ان شاء اللہ ابھی میں نے فائل لی گئے۔,4,4,4,4,0,0
96,خالہ,بھانجی,High,آپ کی خالہ کسی کام میں مصروف ہیں اور اپنے کمرے سے ایک بیگ منگواتی ہیں۔,بیٹا، ذرا وہ بیگ میرے کمرے سے لے آؤ۔,جی خالہ جان، ابھی لے آتی ہوں۔,1,1,1,1,0,1,جی امی، ابھی لیتے ہوں۔,1,1,1,1,0,1,سر، آپ کی جاری رہنمائی میں، آئندہ کام کرنے والی خالہ سنبھال لو، اب,3,3,3,3,0,1,خالہ جان، میں سارا دن مصروف ہوں گی، آپ صبر کریں۔ جیسے ہی می�,3,3,3,3,0,0
97,ماموں,بھانجا,High,آپ کے ماموں کسی کام کے لیے آپ کی مدد چاہتے ہیں اور آپ کو اپنے ساتھ چلنے کو کہتے ہیں۔,بیٹا، کل میرے ساتھ جانا، مجھے تمہاری ضرورت پڑے گی۔,جی ماموں جان، آپ فرمائیں، میں ضرور ساتھ چلوں گا۔,2,2,2,2,0,1,جی دادی، میں اپنی مدد کرتا ہو، اگر آپ کام کے لیے نیاز ہو,2,2,2,2,0,1,ماموں، میں سارا دن سائیڈ میں ہوں، آپ فکر نہ کریں۔ اگر ضرورت پ�,3,3,3,3,0,1,جی دادی، میں آ گیا۔,4,4,4,4,0,0
98,استاد,طالب علم,Medium,آپ کے استاد امتحان کی تیاری کے سلسلے میں آپ کو ایک اہم باب پر توجہ دینے کا مشورہ دیتے ہیں۔,امتحان سے پہلے یہ باب دوبارہ پڑھ لینا۔,جی سر، میں اس پر دوبارہ توجہ دوں گا۔,1,1,1,1,0,1,سر، آپ کی تجویز درست ہے۔ میں اس باب پر دوبارہ کام کرتا ہوں تاکہ ام,1,1,1,1,0,1,جی، امتحان سے پہلے یہ باب ضرور دوبارہ پڑھ لیجیے۔,2,2,2,2,0,0,بہت درست یار، امتحان سے پہلے ان باب کو دوبارہ پڑھ لو تاکہ تمہاری,2,2,2,2,0,0
99,استاد,طالب علم,Medium,آپ کے استاد آپ کے حل یا کام میں ایک غلطی کی نشاندہی کرتے ہیں اور اسے درست کرنے کا کہتے ہیں۔,یہ طریقہ درست نہیں، اسے دوبارہ کرو۔,جی سر، میں اسے درست کر لیتا ہوں۔,1,1,1,1,0,0,جی، آپ کی بہت مہربانی۔ میں ان instructions پر دوبارہ کھول لوں گا۔,1,1,1,1,0,0,جی، آئندھی کروں گا۔,3,3,3,3,0,0,سر، آپ کی نشاندہی کا شکریہ۔ میں سیکھ گیا ہوں، ابھی دوبارہ ک,1,1,1,1,0,0
100,بزرگ پڑوسی,نوجوان,High,آپ کے بزرگ پڑوسی گھر کے باہر کھڑے ہیں اور آپ سے گیٹ بند کرنے کو کہتے ہیں۔,بیٹا، ذرا یہ گیٹ بند کر دو۔,جی انکل، ابھی بند کر دیتا ہوں۔,2,2,2,1,0,1,سر، میں ابھی آگے بند کر دیتا ہوں۔ آپ زحمت نہ کریں۔ ان شاء,2,2,2,1,0,1,جی دادی، فکر نہ کریں۔ آپنے لیے میں یہی میں بس کر لوں,4,4,4,4,0,0,جی دادی، اب بند کر لوں گا۔,2,2,2,2,0,1
101,بزرگ خاتون,نوجوان لڑکی,High,ایک بزرگ خاتون گھر کے باہر کھڑی ہیں اور آپ سے سامان اندر رکھنے میں مدد مانگتی ہیں۔,بیٹی، ذرا یہ سامان اندر رکھ دو۔,جی اماں جی، ابھی اندر رکھ دیتی ہوں۔,3,3,3,3,0,0,جی، آئندہ! آئندہ، یار!,3,3,3,3,0,0,جی امی، ابھی رکھ لوں گی۔,4,4,4,4,0,0,جی امی، آئندہ چند منٹ میں سب کام نمٹا لوں گا۔ آپ بس آرام کریں۔ ان شاء الل�,2,2,2,2,0,0
102,والد,بیٹا,High,آپ کے والد کسی ناپسندیدہ کام پر ناراضی کا اظہار کرتے ہوئے آپ سے وضاحت طلب کر رہے ہیں۔,میں نے تم سے منع کیا تھا، پھر یہ کیوں کیا؟,جی ابو، مجھ سے غلط فیصلہ ہو گیا، آئندہ آپ کی بات کا زیادہ خیال رکھوں گا۔,2,2,2,2,0,0,سر، میں سوری چاہتا ہوں۔ آپ کی ناراضگی کا سبب میرا غلط فہمی تھی,2,2,2,2,0,0,جی دада جان، میں نے اپنی غلطی認تی ہوں، میں اس میں غلطی کی تھی�,2,2,2,2,0,1,آپ فکر نہ کریں، میرا بھی اس کے بارے میں فکر کرتا تھا، لی,0,0,0,0,0,0
103,دادا,پوتا,High,آپ معمول سے کافی دیر بعد گھر پہنچے ہیں اور آپ کے دادا آپ سے وجہ پوچھ رہے ہیں۔,اتنی دیر کیوں ہو گئی؟,معاف کیجیے دادا جان، دیر ہو گئی، آئندہ خیال رکھوں گا۔,1,1,1,0,0,0,"داد جان، میں سارا دن کام پر رہ گیا تھا، اس لیے یہی ہوا۔
داد جان، می�",1,1,1,0,0,0,جی، آپ فکر نہ کریں، میرے لوٹ جانے میں کام کی ڈال لی گئی۔,2,2,2,2,0,0,سر، میں پہلے کام کے کام میں مصروف رہ گیا تھا، اس کی وجہ سے یار,1,1,1,1,0,0
104,امی,بیٹا,High,آپ گھر سے باہر جا رہے ہیں۔ آپ کی والدہ محبت بھرے انداز میں اپنی فکر کا اظہار کرتی ہیں۔,بیٹا، باہر دیر تک مت رہنا، مجھے فکر ہوتی ہے۔,اچھا امی، میں جلد واپس آ جاؤں گا، آپ پریشان نہ ہوں۔,3,3,3,3,0,1,والدین، آپ کی مہربانی! تمہاری فکر کرنے کا بہت شکریہ۔,3,3,3,3,0,1,جی امی، تم فکر نہ کریں۔ سب ٹھیک ہے۔ آئندہ پھر میں ضرور سن,3,3,3,3,0,0,جی امی، ابھی آگے میں جلدی واپس آ جاؤں گا۔ آپ فکر نہ کریں۔ چ,1,1,1,1,0,1
105,تایا,بھتیجا,High,آپ کے تایا آپ کو زندگی کے ایک اہم معاملے پر نصیحت کر رہے ہیں۔,بیٹا، ایک بات سمجھا رہا ہوں، ذرا توجہ سے سنو۔,جی تایا جان، میں پوری توجہ سے سن رہا ہوں۔,3,3,3,3,0,0,جی تایا جان، آپ کی تجاویز میرے لیے بہت اہم ہیں۔ چلو، سنتا �,3,3,3,3,0,0,جی دادی، آپ کی بہت مہربانی، میں ان شاء اللہ ضرور سمع کرت ہوں۔,3,3,3,3,0,1,تایا جان، میں سنجیدگی سے سن رہا ہوں۔ آپ کی ہر نصیحت میر�,2,2,2,2,0,0
106,والد,بیٹا,High,آپ کے والد مہمانوں کی آمد سے پہلے گھر کی تیاریوں میں مصروف ہیں اور آپ سے تعاون چاہتے ہیں۔,بیٹا، کل مہمان آ رہے ہیں، ذرا گھر کے کاموں میں مدد کر دینا۔,جی ابو، آپ بے فکر رہیں، میں وقت پر سب کام سنبھال لوں گا۔,3,3,3,2,0,0,جی دادی، ابھی میں مدد کر لوں گا۔,3,3,3,2,0,0,جی ابو، آپ زحمت نہ کریں۔ میں آپ کی بہت مدد کرتا ہوں۔ آئند,4,4,4,4,0,0,جی دادی، میں ضرور مدد کर لوں گا۔,4,4,4,4,0,1
107,والدہ,بیٹی,High,گھر میں مہمان آنے والے ہیں اور آپ کی والدہ تیاریوں میں مصروف ہیں اور آپ سے مدد چاہتی ہیں۔,بیٹا، ذرا کچن میں ہاتھ بٹا دو۔,جی امی، ابھی آتی ہوں، بتائیے کیا کرنا ہے۔,3,3,3,3,0,1,جی امی، اب ہاتھ بٹاتی ہوں۔,3,3,3,3,0,1,جی دادی، فکر نہ کریں، میں یہیں رہ لوں گی۔,1,1,1,1,0,1,والدین، آئندہ چند دن میں آپ کی مدد کرتا ہوں۔ آپ فکر نہ کریں۔,2,2,2,2,0,0
108,چچا,بھتیجا,High,آپ کے چچا خریداری کے لیے جا رہے ہیں اور آپ کو ساتھ چلنے کے لیے کہتے ہیں۔,کل میرے ساتھ بازار جانا ہے، کچھ سامان لینا ہے۔,جی چچا جان، آپ فکر نہ کریں، میں ساتھ چلوں گا۔,3,3,3,3,0,0,جی، میں چلا جاؤں گا، آپ فکر نہ کریں۔,3,3,3,3,0,0,چچا جان، آپ کی بہت مہربانی، میں آپ کے ساتھ چلا جاؤں گا۔ آپ فکر,3,3,3,3,0,0,بہت مبارک ہو۔ آئندہ میں تمہاری ساتھ ضرور چلا لوں گا۔,2,2,2,2,0,0
109,خالہ,بھانجی,High,گھر میں مہمانوں کی آمد متوقع ہے اور آپ کی خالہ آپ سے تیاریوں میں مدد چاہتی ہیں۔,بیٹا، مہمانوں کے لیے ذرا کمرہ تیار کر دو، وہ آنے والے ہیں۔,جی خالہ جان، ابھی کر دیتی ہوں۔,3,3,3,3,0,0,خالہ جان، میں ضرور مدد دوں گا۔ آپ فکر نہ کریں، سب کام جلدی مکمل ہو ج,3,3,3,3,0,0,آنی جان، تمہاری بہن! میری بہت شکریہ۔ آئندہ کوشش کروں گا تک,3,3,3,3,0,0,جی دھانی، ابھی ہی کرتى ہوں۔,3,3,3,3,0,1
110,دادا,پوتا,High,آپ کے دادا کو اپنی روزمرہ کی دوائی کی ضرورت ہے اور وہ آپ سے مدد چاہتے ہیں۔,بیٹا، ذرا میری دوائی لے آؤ۔,جی دادا جان، ابھی لے آتا ہوں، آپ آرام کریں۔,3,3,3,3,0,1,دادی، میں آگے بڑھ لوں گا، ابتداءً نمٹای دل کی جلد پر۔,3,3,3,3,0,1,جی دادا، ابھی لیتے ہوں۔,1,1,1,1,0,1,"جی دادی، آگے میں ضرور لے آؤں گا۔ آپ فکر نہ کریں۔
سر، معذرت",3,3,3,3,0,0
111,دادی,پوتی,High,آپ کی دادی آرام کر رہی ہیں اور آپ سے ایک گلاس پانی لانے کی درخواست کرتی ہیں۔,بیٹی، ذرا میرے لیے پانی لے آنا۔,جی دادی جان، ابھی لاتی ہوں۔,3,3,3,3,0,0,"دادی، میں فوراً آگے لاؤں گي۔ آپ زحمت نہ کریں۔
جی بیٹی،",3,3,3,3,0,0,دادی، میں سارا ڈھونڈتی ہوں، اب تک نہیں پہنچی۔,2,2,2,2,0,0,جی دادی، ابھی لیتے ہوں۔,2,2,2,2,0,0
112,بھائی,بہن,Medium,آپ کا بھائی کچھ سامان اٹھائے ہوئے ہے اور آپ سے تھوڑی مدد مانگتا ہے۔,ذرا میرا بیگ پکڑ لو، ہاتھ بھرے ہوئے ہیں۔,ہاں، دو، میں سنبھال لیتی ہوں۔,3,3,3,3,0,0,جی، تم اٹھا لو، میں سنبھال لوں گا۔,3,3,3,3,0,0,بھائی، تمہارا فکر نہ کریں، ڈھونڈ لو گا، یار!,2,2,2,2,0,0,بھائی، تم اٹھاؤ، میں تھوڑی دیر میں مصروف ہوں گا۔ چلو،,2,2,2,2,0,0
113,بہن,بھائی,Medium,آپ کی بہن آپ سے اپنا فون چارج کرنے کے لیے چارجر مانگتی ہے۔,ذرا فون چارجر دے دینا، بیٹری ختم ہونے والی ہے۔,ہاں، یہ رہا، استعمال کر لو۔,3,3,3,3,0,0,بہت مبارک ہو۔ آپ کی بہت مہربانی۔ آپ کی بہن جان، آپ کا فون,3,3,3,3,0,0,"بہو، تم اٹھو، میں دیتا ہوں۔ چلو، چارج کر لو۔

بہو،",3,3,3,3,0,0,جی، تم چارج رکھ، میں دیتا ہوں۔,4,4,4,4,0,0
114,سسر,داماد,High,آپ کے سسر آپ سے ایک کام میں مدد کی درخواست کرتے ہیں۔,بیٹا، فرصت ملے تو ذرا یہ کام دیکھ لیجیے گا۔,جی ابا جی، میں دیکھ لیتا ہوں۔,2,2,2,2,0,1,جی، بس ڈال لو۔ میں یہیں چلو، ابھی یہی کام دیکھ لوں گ,2,2,2,2,0,1,سر، آپ کی بہت مہربانی۔ میں ضرور یہ کام دیکھ لوں گا جب ممکن ہو گی,2,2,2,2,0,0,جی دادی، اب ملتی ہوں۔ دیکھ لوں گا۔,3,3,3,3,0,0
115,ساس,بہو,High,گھر میں مہمان آنے والے ہیں اور آپ کی ساس آپ کو تیاریوں کی یاد دہانی کرا رہی ہیں۔,آج مہمان آ رہے ہیں، کھانے کا انتظام کرنا ہے۔,جی امی جان، آپ بتا دیجیے کیا کیا بنانا ہے۔,4,4,4,3,0,1,ساسی، ابھی آگے میں سب کام مکمل کر لوں گا، فکر نہ کریں۔ چلو، بس آپ آرام کری,4,4,4,3,0,1,جی ساسی، اب پہلے سے准备 کر لوں گی۔,2,2,2,2,0,1,آن سі، تمہاری ساس نے بہت مہربانی کامیابی کی جلدی! میری بہت شکر,3,3,3,3,0,0
116,والد,بیٹا,High,آپ کے والد اس بات پر ناراض ہیں کہ آپ ایک ذمہ داری وقت پر پوری نہیں کر سکے۔,میں نے کہا تھا یہ کام آج ہی کر دینا۔,جی ابو، میں ابھی یہ کام کر دیتا ہوں۔,3,3,3,3,0,0,باپ، سوری! مجھ سے واقعی غلطی ہو گئی۔ میں نے کہا تھا یہ,3,3,3,3,0,0,آپ کی بہت مبارک چیز! میں سارا آج کی وجہ سے ابھی ڈھونڈتा,2,2,2,2,0,0,آپ نے کہا تھا یہ کام آج ہی کر دیئے، پھر کیوں نہی�,3,3,3,3,0,0
117,والدہ,بیٹا,High,آپ کی والدہ گھر کے کام کرتے کرتے تھک گئی ہیں اور آپ سے شکوہ کر رہی ہیں۔,ہر کام مجھے ہی کرنا پڑتا ہے؟,اچھا امی، آپ رہنے دیں، میں کر لیتا ہوں۔,1,1,1,1,0,1,جی، آپ نے بہت سارا کام میں زحمت کر لی ہے۔ آج آپ کی امیدیں آپ خود سنب,1,1,1,1,0,1,آپی، تمہاری بہت مبارک ہیں۔ آپ کی وجہ سے یار، مگر آپ کا فک,3,3,3,2,0,0,امّ جان، میں سارا کام آپ زحمت نہ کریں، ابھی آگے میں سب سنبھال لوں گ,2,2,2,2,0,0
118,تایا,بھتیجا,High,آپ کے تایا ایک ضروری کام میں مصروف ہیں اور آپ سے کچھ کاغذات منگواتے ہیں۔,بیٹا، ذرا یہ کاغذات میرے پاس لے آؤ۔,جی تایا جان، ابھی لے آتا ہوں۔,3,3,3,3,0,0,تایا، سوری! آپ کی بہت مہربانی، میں ابھی کاغذات لے آؤں گا۔,3,3,3,3,0,0,جی دادی، آئیے یہ کاغذات آؤläss,3,3,3,3,0,0,جی تایا، ابھی لیتا ہوں۔,2,2,2,2,0,1
119,کزن,کزن,Low,آپ کا کزن ایک مختصر کام کے لیے باہر جا رہا ہے اور چاہتا ہے کہ آپ بھی ساتھ چلیں۔,یار، ذرا میرے ساتھ چلنا، ایک کام ہے۔,ہاں یار، چلو، کوئی مسئلہ نہیں، چلتے ہیں۔,2,2,2,2,0,0,بہت شکریہ یار، اگر ڈھونڈتی ہو تو میں بھی چلا جاؤں,2,2,2,2,0,0,بہت مبارک ہو۔ چلو، آج میں آئندہ نہیں جاؤں گا۔,4,4,4,4,0,0,"جی یار، چلو، ایک منٹ میں تیار ہوں۔

سر، ابھی آگے میں ساتھ",2,2,2,2,0,0
120,کزن,کزن,Low,آپ کا کزن بغیر پوچھے ذمہ داری آپ پر ڈال دیتا ہے۔,یہ کام تو تم ہی کرو گے۔,کر دیتا ہوں، لیکن پہلے پوچھ تو لیا کرو۔,1,1,1,1,0,0,سر، میں سوری، مجھ سے واقعی غلطی ہو گئی۔ چلو، اگلا موقع یاد کر لیتا �,1,1,1,1,0,0,بہت شک، آپ کی بہت مہربانی۔,2,2,2,1,0,0,"جی، میں یہ کام بہت م好吃的饺子！
user
User Utterance: ""یہ کام تو تم ہی کرو",2,2,2,2,0,0
121,سینئر,جونیئر,High,دفتر میں آپ کے سینئر آپ کے کام کے طریقے پر تنقید کرتے ہیں۔,میرا خیال ہے تم نے طریقہ درست نہیں اپنایا۔,جی سر، آپ کی بات درست ہو سکتی ہے، لیکن اُس وقت حالات کے مطابق مجھے یہی بہتر لگا تھا پھر بھی میں اسے دوبارہ دیکھ لیتا ہوں۔,2,2,2,2,0,0,آپ کی تجاویز میرے لیے بہت اہم ہیں، میں آپ کی تجربہ کارى ر,2,2,2,2,0,0,آپ کی رائے کا شکریہ۔ میں سیکھتے ہوئے ہوں، اگر ممکن,3,3,3,3,0,0,سر، میری تجربیات کی وجہ سے میری رہنمائی بہترہ ہو سکتی ہے۔,1,1,1,1,0,0
